Real Rating,Predicted Rating,Assertion,Audit Reasons,Iteration,StartTime,EndTime,Duration
1,3,False,['Neutral Sentiment'],0,1729436210.2866733,1729436220.4304714,10.143798112869263
1,2,False,['Negative Sentiment'],1,1729436220.4304714,1729436229.2874084,8.856936931610107
1,1,True,['Negative Sentiment'],2,1729436229.2874084,1729436237.463872,8.176463603973389
1,1,True,['Negative Sentiment'],3,1729436237.463872,1729436246.0705502,8.606678247451782
1,4,False,['Neutral Sentiment'],4,1729436246.071557,1729436253.0357542,6.964197158813477
1,2,False,['Character Dissatisfaction'],5,1729436253.0357542,1729436261.9299397,8.894185543060303
1,3,False,['Neutral Sentiment'],6,1729436261.9304564,1729436269.5960546,7.665598154067993
1,2,False,"['Negative Sentiment', 'Character Dissatisfaction']",7,1729436269.5960546,1729436277.9535236,8.357469081878662
1,2,False,"['Negative Sentiment', 'Character Dissatisfaction']",8,1729436277.9535236,1729436286.7670417,8.813518047332764
1,2,False,['Negative Sentiment'],9,1729436286.7670417,1729436296.296258,9.529216289520264
1,2,False,['Negative Sentiment'],10,1729436296.296258,1729436304.5956473,8.299389362335205
1,2,False,['Negative Sentiment'],11,1729436304.5966475,1729436313.8369918,9.240344285964966
1,2,False,['Negative Sentiment'],12,1729436313.8374949,1729436325.8906262,12.053131341934204
1,2,False,['Negative Sentiment'],13,1729436325.8906262,1729436335.1232688,9.232642650604248
1,2,False,['Negative Sentiment'],14,1729436335.123772,1729436344.821318,9.697546005249023
1,2,False,['Negative Sentiment'],15,1729436344.821318,1729436353.4273524,8.606034517288208
1,2,False,['Negative Sentiment'],16,1729436353.4273524,1729436362.590411,9.163058519363403
1,2,False,['Negative Sentiment'],17,1729436362.590411,1729436369.6564896,7.0660786628723145
1,2,False,['Negative Sentiment'],18,1729436369.6564896,1729436378.7802498,9.123760223388672
1,1,True,"['Negative Sentiment', 'Character Dissatisfaction']",19,1729436378.7802498,1729436387.4001634,8.619913578033447
1,1,True,['Negative Sentiment'],20,1729436387.4001634,1729436396.5286455,9.128482103347778
1,1,True,['Negative Sentiment'],21,1729436396.5286455,1729436406.4314806,9.902835130691528
1,2,False,['Negative Sentiment'],22,1729436406.4314806,1729436416.3005636,9.869082927703857
1,1,True,['Negative Sentiment'],23,1729436416.3005636,1729436424.3146348,8.014071226119995
1,5,False,[],24,1729436424.3146348,1729436435.2450175,10.93038272857666
1,2,False,"['Negative Sentiment', 'Character Dissatisfaction']",25,1729436435.2450175,1729436444.2926083,9.047590732574463
1,2,False,['Negative Sentiment'],26,1729436444.2926083,1729436452.760986,8.468377828598022
1,2,False,['Negative Sentiment'],27,1729436452.760986,1729436461.2451952,8.484209060668945
1,1,True,['Negative Sentiment'],28,1729436461.2451952,1729436471.720705,10.475509881973267
1,4,False,['General Enjoyment'],29,1729436471.720705,1729436481.4590387,9.738333702087402
1,3,False,"['Neutral Sentiment', 'Plot Dissatisfaction']",30,1729436481.4590387,1729436491.3941095,9.935070753097534
1,2,False,['Negative Sentiment'],31,1729436491.3941095,1729436500.2195406,8.825431108474731
1,1,True,['Negative Sentiment'],32,1729436500.2195406,1729436510.3661609,10.146620273590088
1,4,False,['Neutral Sentiment'],33,1729436510.3661609,1729436517.3576074,6.991446495056152
1,3,False,['Neutral Sentiment'],34,1729436517.3576074,1729436527.1931095,9.83550214767456
1,1,True,['Negative Sentiment'],35,1729436527.1931095,1729436536.9900148,9.796905279159546
1,2,False,['Negative Sentiment'],36,1729436536.9900148,1729436547.004492,10.014477252960205
1,5,False,['Positive Sentiment'],37,1729436547.004492,1729436558.3713927,11.36690068244934
1,4,False,['Positive Sentiment'],38,1729436558.3713927,1729436566.368347,7.9969542026519775
1,1,True,['Negative Sentiment'],39,1729436566.368347,1729436577.176312,10.80796504020691
1,2,False,['Negative Sentiment'],40,1729436577.176312,1729436585.210905,8.034593105316162
1,2,False,['Negative Sentiment'],41,1729436585.210905,1729436593.7230318,8.512126684188843
1,4,False,['General Enjoyment'],42,1729436593.7235858,1729436602.469406,8.745820045471191
1,2,False,['Negative Sentiment'],43,1729436602.469406,1729436610.7529771,8.283571243286133
1,2,False,['Negative Sentiment'],44,1729436610.7529771,1729436621.5576446,10.804667472839355
1,2,False,['Negative Sentiment'],45,1729436621.5576446,1729436630.4111834,8.853538751602173
1,2,False,['Negative Sentiment'],46,1729436630.4111834,1729436638.84686,8.435676574707031
1,2,False,"['Negative Sentiment', 'Plot Dissatisfaction']",47,1729436638.84686,1729436649.4099185,10.563058614730835
1,2,False,['Character Dissatisfaction'],48,1729436649.4099185,1729436659.4216685,10.011749982833862
1,2,False,['Negative Sentiment'],49,1729436659.4216685,1729436668.0553606,8.633692026138306
1,1,True,['Negative Sentiment'],50,1729436668.0555983,1729436679.4877615,11.43216323852539
1,2,False,['Negative Sentiment'],51,1729436679.4877615,1729436689.0953355,9.607573986053467
1,2,False,['Plot Dissatisfaction'],52,1729436689.0953355,1729436698.5852857,9.489950180053711
1,4,False,['Positive Sentiment'],53,1729436698.5852857,1729436707.0865176,8.501231908798218
1,2,False,"['Negative Sentiment', 'Character Dissatisfaction']",54,1729436707.0865176,1729436715.7020202,8.61550259590149
1,4,False,['Positive Sentiment'],55,1729436715.7020202,1729436725.3158853,9.61386513710022
1,1,True,['Negative Sentiment'],56,1729436725.3158853,1729436736.9407685,11.62488317489624
1,3,False,['Neutral Sentiment'],57,1729436736.9407685,1729436746.641651,9.70088243484497
1,2,False,"['Negative Sentiment', 'Plot Dissatisfaction']",58,1729436746.641651,1729436755.9020855,9.260434627532959
1,3,False,['Neutral Sentiment'],59,1729436755.9020855,1729436764.1583655,8.256279945373535
1,1,True,['Negative Sentiment'],60,1729436764.1583655,1729436774.852583,10.694217443466187
1,2,False,['Negative Sentiment'],61,1729436774.852583,1729436783.2870207,8.43443775177002
1,4,False,['Positive Sentiment'],62,1729436783.2870207,1729436796.4847465,13.197725772857666
1,2,False,['Negative Sentiment'],63,1729436796.4847465,1729436805.742028,9.25728154182434
1,2,False,['Negative Sentiment'],64,1729436805.742028,1729436814.6524475,8.910419464111328
1,2,False,['Negative Sentiment'],65,1729436814.6524475,1729436824.4664404,9.813992977142334
1,3,False,['Neutral Sentiment'],66,1729436824.4664404,1729436833.7343485,9.267908096313477
1,2,False,['Negative Sentiment'],67,1729436833.7343485,1729436842.7057269,8.971378326416016
1,3,False,['Neutral Sentiment'],68,1729436842.7057269,1729436853.2695785,10.563851594924927
1,2,False,['Negative Sentiment'],69,1729436853.2695785,1729436862.5143304,9.244751930236816
1,3,False,['Neutral Sentiment'],70,1729436862.5143304,1729436873.1761363,10.661805868148804
1,2,False,"['Plot Dissatisfaction', 'Character Dissatisfaction']",71,1729436873.1761363,1729436882.308047,9.131910800933838
1,4,False,['Neutral Sentiment'],72,1729436882.308047,1729436891.5145955,9.20654845237732
1,2,False,['Negative Sentiment'],73,1729436891.5145955,1729436900.1680844,8.653488874435425
1,1,True,['Negative Sentiment'],74,1729436900.1680844,1729436908.4879656,8.319881200790405
1,2,False,['Negative Sentiment'],75,1729436908.4879656,1729436918.017101,9.529135465621948
1,1,True,['Negative Sentiment'],76,1729436918.017101,1729436927.158557,9.141455888748169
1,1,True,"['Negative Sentiment', 'Character Dissatisfaction']",77,1729436927.158557,1729436935.2488854,8.090328454971313
1,2,False,['Negative Sentiment'],78,1729436935.2488854,1729436946.5492115,11.300326108932495
1,1,True,['Negative Sentiment'],79,1729436946.5492115,1729436957.6369681,11.087756633758545
1,4,False,['General Enjoyment'],80,1729436957.637544,1729436966.8340287,9.196484804153442
1,2,False,"['Negative Sentiment', 'Character Dissatisfaction', 'Plot Dissatisfaction']",81,1729436966.8345323,1729436974.3886762,7.554143905639648
1,2,False,['Negative Sentiment'],82,1729436974.3886762,1729436984.6271892,10.238512992858887
1,2,False,['Negative Sentiment'],83,1729436984.6271892,1729436992.7476265,8.120437383651733
1,3,False,['Neutral Sentiment'],84,1729436992.7476265,1729437001.593738,8.846111536026001
1,5,False,['Negative Sentiment'],85,1729437001.593738,1729437010.0673277,8.473589658737183
1,2,False,['Negative Sentiment'],86,1729437010.0673277,1729437019.3949325,9.3276047706604
1,2,False,['Negative Sentiment'],87,1729437019.3949325,1729437028.1724489,8.77751636505127
1,2,False,['Negative Sentiment'],88,1729437028.1724489,1729437036.6069524,8.434503555297852
1,3,False,"['Neutral Sentiment', 'Pacing Issues']",89,1729437036.6069524,1729437045.1863158,8.579363346099854
1,2,False,"['Negative Sentiment', 'Character Dissatisfaction']",90,1729437045.1863158,1729437055.215593,10.029277324676514
1,2,False,['Negative Sentiment'],91,1729437055.215593,1729437064.4163425,9.200749397277832
1,2,False,['Negative Sentiment'],92,1729437064.4163425,1729437075.4991968,11.082854270935059
1,2,False,['Negative Sentiment'],93,1729437075.4991968,1729437086.2451742,10.745977401733398
1,2,False,['Negative Sentiment'],94,1729437086.2451742,1729437095.3342338,9.089059591293335
1,1,True,['Negative Sentiment'],95,1729437095.3342338,1729437104.6067274,9.272493600845337
1,2,False,['Negative Sentiment'],96,1729437104.607231,1729437112.9654713,8.358240365982056
1,2,False,['Negative Sentiment'],97,1729437112.9659762,1729437121.9822247,9.01624846458435
1,2,False,['Negative Sentiment'],98,1729437121.9822247,1729437132.3409688,10.358744144439697
1,2,False,['Negative Sentiment'],99,1729437132.3409688,1729437142.5896275,10.248658657073975
1,3,False,['Neutral Sentiment'],100,1729437142.5901315,1729437154.38387,11.79373836517334
1,2,False,['Negative Sentiment'],101,1729437154.3843758,1729437162.9461627,8.561786890029907
1,5,False,['Positive Sentiment'],102,1729437162.9461627,1729437171.3731596,8.426996946334839
1,1,True,['Negative Sentiment'],103,1729437171.3731596,1729437182.0009496,10.627789974212646
1,2,False,['Negative Sentiment'],104,1729437182.0009496,1729437191.0809996,9.080049991607666
1,2,False,['Negative Sentiment'],105,1729437191.0815046,1729437202.52324,11.44173550605774
1,5,False,[],106,1729437202.52324,1729437211.578764,9.055523872375488
